wallet,amount,duration,transferable,forfeitable
0x1234567890123456789012345678901234567890,1000000000000000000000,31536000,true,false
0x2345678901234567890123456789012345678901,2000000000000000000000,63072000,true,false
0x3456789012345678901234567890123456789012,5000000000000000000000,94608000,false,true
0x4567890123456789012345678901234567890123,10000000000000000000000,126144000,true,false
0x5678901234567890123456789012345678901234,15000000000000000000000,157680000,true,false
0x6789012345678901234567890123456789012345,25000000000000000000000,189216000,false,true
0x7890123456789012345678901234567890123456,30000000000000000000000,220752000,true,false
0x8901234567890123456789012345678901234567,40000000000000000000000,252288000,true,false
0x9012345678901234567890123456789012345678,50000000000000000000000,283824000,false,true
0x0123456789012345678901234567890123456789,60000000000000000000000,315360000,true,false
0x1111111111111111111111111111111111111111,1000000000000000000000,15768000,true,false
0x2222222222222222222222222222222222222222,2000000000000000000000,31536000,true,false
0x3333333333333333333333333333333333333333,3000000000000000000000,47304000,false,true
0x4444444444444444444444444444444444444444,4000000000000000000000,63072000,true,false
0x5555555555555555555555555555555555555555,5000000000000000000000,78840000,true,false
